Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#ILookLikeAnEngineer,MarniWilhite,RT @wwcodeatx: How Etsy Grew their Number of Female Engineers by Almost 500% in One Year – https://t.co/yIdcuALHKS #WWCode #ILookLikeAnEngi…,2013,Jun,False,2,False,0
#ILookLikeAnEngineer,copingwithecode,RT @wwcodeatx: How Etsy Grew their Number of Female Engineers by Almost 500% in One Year – https://t.co/yIdcuALHKS #WWCode #ILookLikeAnEngi…,2015,Nov,False,2,False,0
#ILookLikeAnEngineer,wwcodeatx,How Etsy Grew their Number of Female Engineers by Almost 500% in One Year – https://t.co/yIdcuALHKS #WWCode #ILookLikeAnEngineer #YesWeCode,2013,Aug,False,2,False,2
#ILookLikeAnEngineer,TianaImafidon,RT @zoecklewis: Loving this #GreaterThan panel. Real diversity of what a #womenintech leader can be #ILookLikeAnEngineer https://t.co/iqyJO…,2012,Jul,False,6,False,0
#ILookLikeAnEngineer,ngcproject,.@triketora is an advocate 4 female #engineers! @nytimes covered her participation in the #ILookLikeAnEngineer campaign! #WomensHistoryMonth,2009,Mar,False,0,False,0
#ILookLikeAnEngineer,cpikas,RT @jengolbeck: Remember #distractinglysexy #ILookLikeAnEngineer #scishirt? Take a quick survey for our #distractinglySXSW panel! https://t…,2007,Apr,False,12,False,0
#ILookLikeAnEngineer,FlyingRobotGirl,2nd from the left. #BrillianceIsBeautiful #ILookLikeAnEngineer #PeopleNaturalBeautyContest #NASAroboticist https://t.co/kGr5gBvpce,2014,Jul,False,0,False,2
#ILookLikeAnEngineer,Dermot_R,|RT @CMU_ECE: This is a great list of the 26 most powerful females #engineers in 2016, via @businessinsider. https://t.co/cTlYlx9NL1 #ILookL…|,2012,Aug,False,6,False,0
#ILookLikeAnEngineer,TulivaInc,RT @erinspice: Just ordered for myself and my daughter. Get one for yourself! #ILookLikeAnEngineer https://t.co/7rFXyMGvAJ https://t.co/EKz…,2011,Aug,False,3,False,0
#ILookLikeAnEngineer,MidlandTomorrow,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/kU…,2013,May,False,3,False,0
#ILookLikeAnEngineer,carolynstearns,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/kU…,2008,Sep,False,3,False,0
#ILookLikeAnEngineer,fjgotopo,Robotics Fun today judging at #RyersonFRC #CANFIRST #ILookLikeAnEngineer #WeareCisco https://t.co/xALJQuWFt9,2010,Feb,False,1,False,4
#ILookLikeAnEngineer,MfgStories,10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/kU7c8e5r6O,2012,May,False,3,False,7
#ILookLikeAnEngineer,MaroonedOnEarth,RT @jengolbeck: Remember #distractinglysexy #ILookLikeAnEngineer #scishirt? Take a quick survey for our #distractinglySXSW panel! https://t…,2011,Dec,False,12,False,0
#ILookLikeAnEngineer,KTInvasion,RT @jengolbeck: Remember #distractinglysexy #ILookLikeAnEngineer #scishirt? Take a quick survey for our #distractinglySXSW panel! https://t…,2011,Nov,False,12,False,0
#ILookLikeAnEngineer,calarrick,RT @uxproductlady: #Ghostbusters3 really missing oppty to change up the 3 white scientists + 1 "regular" POC thing. #ILookLikeAnEngineer #d…,2009,Nov,False,1,False,0
#ILookLikeAnEngineer,uxproductlady,#Ghostbusters3 really missing oppty to change up the 3 white scientists + 1 "regular" POC thing. #ILookLikeAnEngineer #diversityinSTEM,2009,Oct,False,1,False,2
#ILookLikeAnEngineer,AmandaConsSci,RT @jengolbeck: Remember #distractinglysexy #ILookLikeAnEngineer #scishirt? Take a quick survey for our #distractinglySXSW panel! https://t…,2013,Dec,False,12,False,0
#ILookLikeAnEngineer,Cooper_Admiss,RT @cooperunion: Amy Chambers ME16 explains her love of building racecars in @ASMEdotorg https://t.co/dTAPF8gKfm #ILookLikeAnEngineer https…,2009,Jun,False,1,False,0
#ILookLikeAnEngineer,cooperunion,Amy Chambers ME16 explains her love of building racecars in @ASMEdotorg https://t.co/dTAPF8gKfm #ILookLikeAnEngineer https://t.co/xVMpgQQgLx,2009,Apr,False,1,False,2
#ILookLikeAnEngineer,MarkMcBW,Career snapshot from Dina Abieva from @London_SEIChemE on her career in #ChemEng. #ILookLikeAnEngineer #IWD2016 https://t.co/iHaPC1sRGD,2009,Oct,False,1,False,2
#ILookLikeAnEngineer,MarkMcBW,Career snapshot from @Dina_Abieva from @London_SEIChemE on her career in #ChemEng. #ILookLikeAnEngineer #IWD2016 https://t.co/vQxhKT5z8O,2009,Oct,False,1,False,3
#ILookLikeAnEngineer,UMassD_Alumni,RT @SemirahD: @UMassD @NUWCNewport thank you for the feature! 😻🙀🛠⛏ I can't wait to be back on campus after my co-op! #ILookLikeAnEngineer,2011,May,False,2,False,0
#ILookLikeAnEngineer,fjgotopo,Who said girls don't love robots? #FRC #FIRST  #ILookLikeAnEngineer  #GirlsInStem https://t.co/OY5AxDQIio,2010,Feb,False,1,False,1
#ILookLikeAnEngineer,FDuclot,Congratulations to Nathelyne Kennedy Houston #EngineeroftheYear #ILookLikeanEngineer @LinkedIn https://t.co/fLoRKeI483,2012,Jun,False,0,False,0
#ILookLikeAnEngineer,Intel_IRL,It's Day 5 of #EngineersWeek - here comes the latest addtiton in our #ILookLikeAnEngineer campaign https://t.co/kBwU7plCV6,2010,Mar,False,0,False,0
#ILookLikeAnEngineer,crabaino,Firet friday of #March! #fridayvibes with officemates~~ #OOTD #ILookLikeAnEngineer #SoftwareEngineer https://t.co/bWTtHmrZXU,2009,May,False,0,False,1
#ILookLikeAnEngineer,MasterCardEU,RT @Anncairns4: Great to meet a fellow engineer launching MasterPass in Store #ILookLikeAnEngineer @natmoisture @MasterCardMEA https://t.co…,2012,Oct,False,18,False,0
#ILookLikeAnEngineer,DamianoMe,|RT @pivotal: Another #pivotalmoment at #launchmobile 
#ILookLikeAnEngineer http://t.co/XH4raZ6QWp|,2015,Apr,False,54,False,0
#ILookLikeAnEngineer,LynwenSian,RT @jayydubs: So inspired by @LynwenSian and her keynote presentation today #ILookLikeAnEngineer #fitt_IWD,2012,May,False,3,False,0
#ILookLikeAnEngineer,lunchboxelectro,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2015,Apr,False,13,False,0
#ILookLikeAnEngineer,MeaganPieries,Such a fun event we held last night at @UWAFT's work space! #ILookLikeAnEngineer #EngineersInTheMaking #STEMLearning https://t.co/WI6F6HVZOr,2015,Oct,False,0,False,1
#ILookLikeAnEngineer,JackiePeer,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2012,Jun,False,13,False,0
#ILookLikeAnEngineer,FlyingRobotGirl,Because femininity and STEM are not exclusive #BrillianceIsBeauty #ILookLikeAnEngineer #PeopleNaturalBeautyContest https://t.co/X65znmMwn3,2014,Jul,False,0,False,7
#ILookLikeAnEngineer,queenkingtala,RT @dtwps: Please read. #ILookLikeAnEngineer #BlackAndSTEM,2014,Sep,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @SVbizjournal: 5 success stories to show girls the power of engineering: https://t.co/EU4rNYugKN  #ILookLikeAnEngineer https://t.co/2u7H…,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @jayydubs: So inspired by @LynwenSian and her keynote presentation today #ILookLikeAnEngineer #fitt_IWD,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @AnnekeRadin: Building! Engineer in the making. @Lilcinluwho  #ILookLikeAnEngineer #naplescsd https://t.co/JEnoYr8B2n,2016,Feb,False,2,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2016,Feb,False,13,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @AREVAus: Proud to help these future engineers enhance their #STEM skills! #ILookLikeAnEngineer @ProjScientist  https://t.co/Li5Rw0eBXk,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @Anncairns4: Great to meet a fellow engineer launching MasterPass in Store #ILookLikeAnEngineer @natmoisture @MasterCardMEA https://t.co…,2016,Feb,False,18,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @Intel_IRL: It's Day 3 in our #ILookLikeAnEngineer campaign! #EngineersWeek https://t.co/zhAe3KwDOm,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @InspirefestHQ: A reminder on #engineersweek that the awesome @isisAnchalee of #ilooklikeanengineer will be rocking #inspirefest Yay htt…,2016,Feb,False,5,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @siliconrepublic: #iLookLikeanEngineer: ‘Pursue your passions and what challenges you’, says Nimbus engineer https://t.co/l7FAckyseY|,2016,Feb,False,4,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @InspirefestHQ: Hey @isisanchalee Ireland still rocking #iLookLikeAnEngineer - see Ramona of @NimbusCentre. See you at #inspirefest http…,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @CMU_ECE: This is a great list of the 26 most powerful females #engineers in 2016, via @businessinsider. https://t.co/cTlYlx9NL1 #ILookL…|,2016,Feb,False,6,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @kholtzblatt: Help with the Women in Tech project! https://t.co/8YdJGZeKhc Do the survey! https://t.co/WF4d3dpuwO Pass it on! #ILookLike…,2016,Feb,False,5,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @powertofly: 26 of the most powerful female engineers in 2016 https://t.co/6tpOc2X3d1 #ilooklikeanengineer #womenintech,2016,Feb,False,7,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @kholtzblatt: It's tough to get $ esp from white venture men if you're a woman, not a coder, &amp; pregnant too!  #ILookLikeAnEngineer https…|,2016,Feb,False,2,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @Intel_IRL: It's #EngineersWeek! All week we will be showing our engineers in action through the #ILookLikeAnEngineer campaign https://t…,2016,Feb,False,8,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @AliceKrause: Diane Green, Anna Paterson, Michal Segalov, Daniela Raijman #ILookLikeAnEngineer at Google. Read abt it https://t.co/3heoQ…|,2016,Feb,False,2,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @BarbaraGoffioul: #ILookLikeAnEngineer #VTKJobfair Female Graduates Visit PM Group Stand! You might win a Lego Architecture set ;-) http…,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @zoecklewis: Loving this #GreaterThan panel. Real diversity of what a #womenintech leader can be #ILookLikeAnEngineer https://t.co/iqyJO…,2016,Feb,False,6,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @erinspice: Just ordered for myself and my daughter. Get one for yourself! #ILookLikeAnEngineer https://t.co/7rFXyMGvAJ https://t.co/EKz…,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @Leadnomics: The simple truth: Leadnomics wouldn't work without superhero software #engineer Mariam Talebi #ILookLikeAnEngineer https://…,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @kholtzblatt: Without  including diverse perspectives, women &amp; other diverse backgrounds won't feel welcome https://t.co/fpyPkK2cml #ILo…|,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @mspaperless: Code is the new literacy. Thanks for inspiring women in STEM careers @hadip #HacktheClassroom #Code4Girlz #Ilooklikeanengi…,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @hoeyannie: Use Twitter to offer different perspectives such as #ILookLikeAnEngineer #PositionOfStrength #electwomen,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @ishinosan: "Women in Technology is an issue for everyone" https://t.co/tXNSpb78GL via @CapgeminiUKPR #ILookLikeAnEngineer,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @UCSDJacobs: Paul @UCSanDiego hopes to change society, and control robots in space: https://t.co/PhMwyYqj5y #ILookLikeAnEngineer https:/…|,2016,Feb,False,2,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @agnesoshiro: So typical of this industry... #ILookLikeAnEngineer https://t.co/kONPLiAiro,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @Mike_K_Spencer: A Female #VentureCapitalist Shares Her Secrets For Getting #Funded https://t.co/A8tOy0EK9l #womeninbusiness #womeinVC #…,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @KristinHenry: Finally discovered the #ILookLikeAnEngineer tag. Loving it!,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @akamaijobs: A familiar champion of women in engineering at @Akamai in @EOPublications #WomanEngineer! Epub: https://t.co/eZ9lqVl7UL #il…,2016,Feb,False,2,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @Codenize_IoT: #ILookLikeAnEngineer Is Coming To A San Francisco Billboard Near You? https://t.co/9yRRE5fPt7 https://t.co/SDQTBBmfR2,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @infantcentre: Our Keelin Murphy in @IrishTimes on #WomenInSTEM -is image the problem?
https://t.co/nrh42EEh6D
#ILookLikeAnEngineer http…|,2016,Feb,False,6,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @ResearchNext: Yvonne Chen, member of @UMassAmherstSWE designs products &amp; solves problems #ILookLikeAnEngineer https://t.co/7qsxGpK2cL|,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @UofLSpeedEng: She's going to #changetheworld #ILookLikeAnEngineer #BreakingStereotypes #BrainsAndBeauty #LifeTakesEngineering https://t…,2016,Feb,False,4,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @UrbanREStarlet: Katherine Johnson: The Girl Who Loved to Count https://t.co/civ8Ihu64c #ILookLikeAnEngineer,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @UrbanREStarlet: #ILookLikeAnEngineer UTK, BS Mechanical Engineering.  Hola at your girl! https://t.co/5QIDpJ6WhU|,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @LAF_Engineering: Likes, loathes and lessons: on being a woman in Engineering https://t.co/2wep9kEhGr via @_catdavid #Ilooklikeanengineer|,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @WMCSpeechProj: Love! @SlackHQ won a Crunchie award–and 4 black female engineers went onstage to accept. Watch: https://t.co/6dxcw5w0nN …,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @SharonPriya1: I chose DMU! #ICHOSEDMU @dmuleicester @DMUTECH #ILookLikeAnEngineer https://t.co/ExYrMv6N2z,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @SMUkimcobb: Here's a shout-out to the women of @LyleEngineering @SMU. You are in good company! #ILookLikeAnEngineer  https://t.co/8PPhd…,2016,Feb,False,2,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @ESPNCareers: "Our group photo says a lot. ESPN is the most diverse place I have ever worked." #ILookLikeAnEngineer #WomenInSTEM https:/…,2016,Feb,False,9,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @InvestDiva: Happy engineers week my fellow engineers!! #ILookLikeAnEngineer #womenentrepreneur #InvestDiva https://t.co/xUi1NPdHRx,2016,Feb,False,4,False,0
#ILookLikeAnEngineer,SandraRagg,RT @jayydubs: So inspired by @LynwenSian and her keynote presentation today #ILookLikeAnEngineer #fitt_IWD,2015,Nov,False,3,False,0
#ILookLikeAnEngineer,jayydubs,So inspired by @LynwenSian and her keynote presentation today #ILookLikeAnEngineer #fitt_IWD,2009,Apr,False,3,False,6
#ILookLikeAnEngineer,MfgCareersInc,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2011,Nov,False,13,False,0
#ILookLikeAnEngineer,nassersahlool,Gender neutral #denmark shows how to fix imbalance in tech: https://t.co/TRhKrKb8lH  #ILookLikeAnEngineer #likeagirl https://t.co/ZpMHHPsAyW,2008,Oct,False,0,False,0
#ILookLikeAnEngineer,NEMOntario,|RT @UWAFT: We used @goldieblox and @KNEX to teach the @Girl_Guides about STEM!
#DiversityInSTEM #ILookLikeAnEngineer #EcoCAR3 https://t.co/…|,2011,Dec,False,1,False,0
#ILookLikeAnEngineer,NaplesCSD,RT @AnnekeRadin: Building! Engineer in the making. @Lilcinluwho  #ILookLikeAnEngineer #naplescsd https://t.co/JEnoYr8B2n,2014,Mar,False,2,False,0
#ILookLikeAnEngineer,AnnekeRadin,Building! Engineer in the making. @Lilcinluwho  #ILookLikeAnEngineer #naplescsd https://t.co/JEnoYr8B2n,2012,Jan,False,2,False,8
#ILookLikeAnEngineer,GirlSciExplore,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2015,Aug,False,13,False,0
#ILookLikeAnEngineer,UWAFT,|We used @goldieblox and @KNEX to teach the @Girl_Guides about STEM!
#DiversityInSTEM #ILookLikeAnEngineer #EcoCAR3 https://t.co/mxMCJozV48|,2009,Jun,False,1,False,2
#ILookLikeAnEngineer,GenW78,RT @JaclynKarnowski: Come learn JavaScript with @girldevelopit this Sunday #ILookLikeAnEngineer #learntocode #SanFrancisco https://t.co/Tr4…,2011,Mar,False,6,False,0
#ILookLikeAnEngineer,lizwhite62,RT @JaclynKarnowski: Come learn JavaScript with @girldevelopit this Sunday #ILookLikeAnEngineer #learntocode #SanFrancisco https://t.co/Tr4…,2011,Dec,False,6,False,0
#ILookLikeAnEngineer,nancycasanova,RT @JaclynKarnowski: Come learn JavaScript with @girldevelopit this Sunday #ILookLikeAnEngineer #learntocode #SanFrancisco https://t.co/Tr4…,2009,Mar,False,6,False,0
#ILookLikeAnEngineer,AREVAus,Registration is open! Sign up for summer #STEM fun at @Sweetbriaredu! #ILookLikeAnEngineer  https://t.co/SuSmAc6yMx,2009,Apr,False,0,False,3
#ILookLikeAnEngineer,erinspice,Just ordered for myself and my daughter. Get one for yourself! #ILookLikeAnEngineer https://t.co/7rFXyMGvAJ https://t.co/EKzn8nenyP,2008,May,False,3,False,9
#ILookLikeAnEngineer,iConsUMass,RT:@UMassAmherstSWE member Nicole Lynch solves problems for fun! #ILookLikeAnEngineer,2010,Feb,False,0,False,0
#ILookLikeAnEngineer,AGVwrites,RT @JaclynKarnowski: Come learn JavaScript with @girldevelopit this Sunday #ILookLikeAnEngineer #learntocode #SanFrancisco https://t.co/Tr4…,2011,Feb,False,6,False,0
#ILookLikeAnEngineer,AtmosTech,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2014,Apr,False,13,False,0
#ILookLikeAnEngineer,StofielAero,RT @MfgStories: 10 Reasons for Girls to Become Engineers https://t.co/9klPpTm0gh via @Robomatter #ILookLikeAnEngineer #STEM https://t.co/dK…,2014,Aug,False,13,False,0
#ILookLikeAnEngineer,wwcodeatx,How Etsy Grew their Number of Female Engineers by Almost 500% in One Year – https://t.co/yIdcuALHKS #WWCode #ILookLikeAnEngineer #YesWeCode,2013,Aug,False,0,False,0
